question,sql_query,explanation
List all products,SELECT * FROM products;,Retrieves all columns and all records from the products table to show every product in the database.
Get all customers,SELECT * FROM customers;,Retrieves all columns and all records from the customers table to show every customer in the database.
Show all orders,SELECT * FROM orders;,Retrieves all columns and all records from the orders table to display the complete list of sales orders.
List all employees,SELECT * FROM employees;,Retrieves all columns and all records from the employees table to show the complete employee roster.
Get all offices,SELECT * FROM offices;,Retrieves all columns and all records from the offices table to list all company office locations.
Show all product lines,SELECT * FROM productlines;,Retrieves all columns and all records from the productlines table to show the product lines (categories) available.
List all payments,SELECT * FROM payments;,Retrieves all columns and all records from the payments table to display all historical financial transactions.
Get product names and prices,"SELECT ""productName"", ""buyPrice"" FROM products;",Selects the specific columns productName and buyPrice from the products table. Double quotes are used to preserve case-sensitivity in PostgreSQL.
Get customer names and cities,"SELECT ""customerName"", ""city"" FROM customers;",Selects the specific columns customerName and city from the customers table to identify customer locations.
List employee first and last names,"SELECT ""firstName"", ""lastName"" FROM employees;",Selects the firstName and lastName columns from the employees table to get employee full names.
Get all order dates,"SELECT ""orderDate"" FROM orders;",Selects the orderDate column from the orders table to retrieve all transaction dates.
Show product vendor list,"SELECT DISTINCT ""productVendor"" FROM products;",Retrieves unique values from the productVendor column in the products table using the DISTINCT keyword to list all unique product suppliers.
Get all product codes,"SELECT ""productCode"" FROM products;",Selects the primary key productCode from the products table.
List all countries from offices,"SELECT DISTINCT ""country"" FROM offices;",Retrieves the distinct countries where the company has a physical office using the DISTINCT keyword.
Show all order statuses,"SELECT DISTINCT ""status"" FROM orders;","Retrieves unique order statuses (e.g., Shipped, Resolved, Cancelled, In Process, On Hold) from the orders table."
Get all payment amounts,"SELECT ""amount"" FROM payments;",Selects the amount column from the payments table.
List all job titles,"SELECT DISTINCT ""jobTitle"" FROM employees;",Retrieves the unique job titles across the entire employee database.
Get customer phone numbers,"SELECT ""customerName"", ""phone"" FROM customers;",Selects the customerName and phone columns from the customers table for customer contact information.
Show product MSRP values,"SELECT ""productName"", ""MSRP"" FROM products;",Selects the productName and MSRP columns from the products table to view recommended retail prices.
List order numbers,"SELECT ""orderNumber"" FROM orders;",Selects the primary key orderNumber column from the orders table.
Get orders with customer names,"SELECT o.""orderNumber"", o.""orderDate"", c.""customerName"" FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"";",Performs an INNER JOIN between the orders and customers tables using the foreign key relationship on customerNumber to map order data to the respective customer name.
Get employees with office city,"SELECT e.""employeeNumber"", e.""firstName"", e.""lastName"", o.""city"" AS ""officeCity"" FROM employees e JOIN offices o ON e.""officeCode"" = o.""officeCode"";",Performs an INNER JOIN between the employees and offices tables on officeCode to fetch the city where each employee's office is located.
Get payments with customer names,"SELECT p.""checkNumber"", p.""amount"", p.""paymentDate"", c.""customerName"" FROM payments p JOIN customers c ON p.""customerNumber"" = c.""customerNumber"";",Joins the payments table with the customers table on customerNumber to display transaction details with human-readable customer names.
Get order details with product names,"SELECT od.""orderNumber"", od.""productCode"", p.""productName"", od.""quantityOrdered"", od.""priceEach"" FROM orderdetails od JOIN products p ON od.""productCode"" = p.""productCode"";",Joins the orderdetails table with the products table on productCode to retrieve itemized orders with their actual product names instead of just codes.
Get products with product line description,"SELECT p.""productCode"", p.""productName"", p.""productLine"", pl.""textDescription"" FROM products p JOIN productlines pl ON p.""productLine"" = pl.""productLine"";",Joins the products table with the productlines table on productLine to display each product alongside its category's detailed text description.
Get customers with sales rep names,"SELECT c.""customerNumber"", c.""customerName"", e.""firstName"" AS ""salesRepFirstName"", e.""lastName"" AS ""salesRepLastName"" FROM customers c JOIN employees e ON c.""salesRepEmployeeNumber"" = e.""employeeNumber"";",Joins the customers table with the employees table on salesRepEmployeeNumber to show customers and the first and last names of their designated sales representatives.
Get orders with customer city,"SELECT o.""orderNumber"", o.""status"", c.""customerName"", c.""city"" AS ""customerCity"" FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"";",Joins the orders table with the customers table on customerNumber to fetch order status alongside the customer's name and location city.
Get employees and their manager,"SELECT e.""firstName"" AS ""employeeFirstName"", e.""lastName"" AS ""employeeLastName"", m.""firstName"" AS ""managerFirstName"", m.""lastName"" AS ""managerLastName"" FROM employees e LEFT JOIN employees m ON e.""reportsTo"" = m.""employeeNumber"";",Performs a self-join on the employees table using a LEFT JOIN on the reportsTo column to match each employee to their supervisor. The LEFT JOIN ensures the President (who reports to no one) is still returned with a NULL manager.
